rf_code;rf_type;rf_fabric;rf_design;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RF033000000247;TI;OR033002100001;Tiroir pivotant 1U ;A;;2018-06-25 00:00:00;;axione;;
RF033000000248;TI;OR033002100001;Tiroir pivotant 3U ;A;;2018-06-25 00:00:00;;axione;;
RF033000000249;TI;OR033002100016;GGM ODFDU;A;;2018-06-25 00:00:00;;axione;;
RF033000000250;TI;OR033002100025;NIAGARA 48FO;A;;2018-06-25 00:00:00;;axione;;
RF033000000251;TI;OR033002100025;NIAGARA 144FO;A;;2018-06-25 00:00:00;;axione;;
RF033000000252;TI;OR033002100025;PORTO;A;;2018-06-25 00:00:00;;axione;;
RF033000000253;TI;OR033002100025;NIAGARA 1U de stockage –T1N BJ;A;;2018-06-25 00:00:00;;axione;;
RF033000000254;TI;OR033002100006;ITOM-V2;A;;2018-06-25 00:00:00;;axione;;
RF033000000255;TI;OR033002100006;iMOD-TOP;A;;2018-06-25 00:00:00;;axione;;
RF033000000256;TI;OR033002100006;itom-stockage;A;;2018-06-25 00:00:00;;axione;;
RF033000000257;TI;OR033002100006;itom-V2-48/96/144;A;;2018-06-25 00:00:00;;axione;;
RF033000000258;TI;OR033002100006;itop-144;A;;2018-06-25 00:00:00;;axione;;
RF033000000259;TI;OR033002100002;POB12;A;;2018-06-25 00:00:00;;axione;;
RF033000000260;TI;OR033002100002;POB 24;A;;2018-06-25 00:00:00;;axione;;
RF033000000261;TI;OR033002100002;POB 36;A;;2018-06-25 00:00:00;;axione;;
RF033000000262;TI;OR033002100002;COSH 48 FO;A;;2018-06-25 00:00:00;;axione;;
RF033000000263;TI;OR033002100002;COSH 144 FO;A;;2018-06-25 00:00:00;;axione;;
RF033000000264;TI;OR033002100002;KINOPTIC;A;;2018-06-25 00:00:00;;axione;;
RF033000000265;TI;OR033002100026;TOM;A;;2018-06-25 00:00:00;;axione;;
